issue_type,file_path,line_number,message
info,lib\cubit\auth_cubit.dart:1,8,The imported package 'bloc' isn't a dependency of the importing package
info,lib\cubit\auth_cubit.dart:17,23,The variable name 'no_telepon' isn't a lowerCamelCase identifier
info,lib\cubit\auth_cubit.dart:18,14,The variable name 'role_id' isn't a lowerCamelCase identifier
info,lib\cubit\auth_state.dart:17,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\cubit\auth_state.dart:26,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\cubit\buka_toko_cubit.dart:1,8,The imported package 'bloc' isn't a dependency of the importing package
info,lib\cubit\buka_toko_state.dart:17,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\cubit\buka_toko_state.dart:26,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\cubit\consultation_cubit.dart:2,8,The imported package 'bloc' isn't a dependency of the importing package
info,lib\cubit\consultation_cubit.dart:32,7,Use 'rethrow' to rethrow a caught exception
info,lib\cubit\consultation_cubit.dart:44,7,Use 'rethrow' to rethrow a caught exception
info,lib\cubit\metode_pembayaran_cubit.dart:1,8,The imported package 'bloc' isn't a dependency of the importing package
info,lib\cubit\metode_pembayaran_cubit.dart:5,3,The constant name 'GOPAY' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pembayaran_cubit.dart:6,3,The constant name 'OVO' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pembayaran_cubit.dart:7,3,The constant name 'DANA' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pembayaran_cubit.dart:8,3,The constant name 'Transfer_Bank' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pembayaran_cubit.dart:9,3,The constant name 'LinkAja' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pembayaran_cubit.dart:10,3,The constant name 'ShopeePay' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pengiriman_cubit.dart:1,8,The imported package 'bloc' isn't a dependency of the importing package
info,lib\cubit\metode_pengiriman_cubit.dart:5,3,The constant name 'Reguler' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pengiriman_cubit.dart:6,3,The constant name 'Express' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pengiriman_cubit.dart:7,3,The constant name 'Ninja_Hatori' isn't a lowerCamelCase identifier
info,lib\cubit\metode_pengiriman_cubit.dart:8,3,The constant name 'Burokh' isn't a lowerCamelCase identifier
